"N_bikes" "temperature" "feels_like" "humidity" "wind_speed" "holiday" "weekend" "season"
"123" 23819 1.3125 0.958333333333333 68.5208333333333 2.77083333333333 0 0 3
"124" 29254 11.2916666666667 10.5 84.8958333333333 12.2708333333333 0 0 1
"125" 12751 4.375 -0.375 68.0208333333333 26.25 0 1 2
"126" 33977 14.125 13.9166666666667 71.4583333333333 18.2916666666667 0 0 2
"127" 42060 23.1458333333333 23.0416666666667 59.9791666666667 10.2916666666667 0 0 1
"128" 29429 14.125 13.8541666666667 64.7083333333333 9.8125 0 1 2
"129" 25558 14.4791666666667 14.4791666666667 81.6875 20.4583333333333 0 0 3
"130" 24586 5.83333333333333 2.47916666666667 71.4791666666667 18.1041666666667 0 0 3
"131" 32054 10.4583333333333 10.1041666666667 86.5625 8.58333333333333 0 0 2
"132" 26878 13.0833333333333 12.9791666666667 71.1666666666667 12.1041666666667 0 0 0
"133" 13199 3.39583333333333 1.91666666666667 84.3333333333333 6.97916666666667 0 1 3
"134" 25899 12.9166666666667 12.9166666666667 76.9375 21.125 0 0 3
"135" 15446 7.54166666666667 5.79166666666667 77.75 10.7291666666667 0 1 2
"136" 27001 19.5 19.5 68 16.8541666666667 0 1 1
"137" 15601 9.75 7.79166666666667 79.3125 20.4791666666667 0 0 3
"138" 29852 16.1666666666667 16.1666666666667 81.125 16.875 0 0 1
"139" 26030 9.85416666666667 8 71.3125 18.6458333333333 0 0 0
"140" 35432 17.25 17.25 74.0625 18.4166666666667 0 0 1
"141" 40229 16.4166666666667 16.4166666666667 79.1458333333333 12 0 1 1
"142" 23430 12.2708333333333 11.7083333333333 73.75 20.75 0 0 3
"143" 18527 13.9166666666667 13.6458333333333 82.875 14.4375 0 1 2
"144" 29697 15.1458333333333 15.1458333333333 87.1458333333333 8.60416666666667 0 1 1
"145" 33342 11.2916666666667 10.3541666666667 61.5416666666667 12.8541666666667 0 0 0
"146" 12301 12.5833333333333 12.5416666666667 69.375 25.0833333333333 0 0 3
"147" 15609 9.89583333333333 7.89583333333333 84.9583333333333 21.375 0 0 0
"148" 25700 8.5 6.625 61.2708333333333 17.7708333333333 0 0 0
"149" 25226 7.54166666666667 5.83333333333333 75.4791666666667 9.85416666666667 0 0 0
"150" 33820 14.5625 14.5625 53.4166666666667 23.2291666666667 0 0 0
"151" 33420 14.5625 14.5625 74.7708333333333 13.5 0 0 2
"152" 25926 14.0277777777778 14.0277777777778 69.5 31.6666666666667 0 0 2
"153" 28628 18.1666666666667 18.1666666666667 73.5 7.0625 0 1 1
"154" 20017 10.0416666666667 9.04166666666667 78.8541666666667 14.2291666666667 0 1 0
"155" 28498 14.2708333333333 14.2708333333333 87.5625 16.8333333333333 0 0 2
"156" 32608 16.6875 16.6875 61.7083333333333 19.9166666666667 0 1 1
"157" 38283 22.2291666666667 22.2291666666667 66.1666666666667 17.4375 0 1 1
"158" 21762 7.60416666666667 5.39583333333333 64.5416666666667 13.6875 0 1 0
"159" 19230 9.97916666666667 9 86.4166666666667 16.7291666666667 0 0 2
"160" 25082 12.1041666666667 11.75 72.0208333333333 10.1041666666667 0 1 2
"161" 21967 17.3333333333333 17.3333333333333 79.1875 17.3333333333333 0 0 2
"162" 30364 11.7083333333333 11 85.9166666666667 13.5625 0 0 2
"163" 20762 7.35416666666667 5.08333333333333 77.9375 12.6458333333333 0 0 3
"164" 29869 15.7083333333333 15.7083333333333 78.5 15.3958333333333 0 0 1
"165" 34676 17.5 17.5 72.2083333333333 8.45833333333333 0 0 1
"166" 30643 11.75 11.375 73.9583333333333 11.0208333333333 0 0 0
"167" 17898 6.5625 4.29166666666667 75.9166666666667 13.3541666666667 0 1 3
"168" 46021 24.6458333333333 24.7291666666667 62.6041666666667 14.4583333333333 0 0 1
"169" 30273 12.875 12.875 65.5 7.52083333333333 0 0 2
"170" 23695 11.5833333333333 11.1875 80 21.5208333333333 0 0 2
"171" 42135 22.6041666666667 22.7291666666667 66.8333333333333 9.97916666666667 0 0 2
"172" 30950 13.9375 13.9375 68.75 12.9583333333333 0 0 2
"173" 38620 18.9791666666667 18.7291666666667 58.9791666666667 15.4791666666667 0 0 1
"174" 42439 19.2291666666667 19.2291666666667 66.2708333333333 12.2708333333333 0 0 1
"175" 15815 11.675 11.2 73.075 23.375 0 1 3
"176" 34197 9.125 7.64583333333333 72.2708333333333 19.125 0 0 0
"177" 25113 11.625 11.125 58.9166666666667 21.6875 0 1 0
"178" 44664 24.9791666666667 25.0416666666667 59 19.0416666666667 0 0 1
"179" 35503 13.6875 13.6875 73.3125 10.7291666666667 0 0 2
"180" 34783 13.7291666666667 13.7291666666667 67.5208333333333 10.7291666666667 0 0 2
"181" 33255 12.0416666666667 11.3125 59.1875 21.0208333333333 0 0 1
"182" 25956 11.0416666666667 9.97916666666667 70.2708333333333 25.0625 0 0 3
"183" 39486 19.5208333333333 19.5208333333333 62.7083333333333 8.95833333333333 0 0 1
"184" 26516 9.27083333333333 7.47916666666667 66.1458333333333 17.7291666666667 0 0 0
"185" 40268 20.6666666666667 20.6666666666667 67.6458333333333 24.7083333333333 0 0 1
"186" 28195 9 7.52083333333333 89.5416666666667 11.75 0 0 3
"187" 40441 21.25 21.1041666666667 55.8125 12.2708333333333 0 1 1
"188" 33116 15.8125 15.8125 71.6458333333333 14.0833333333333 0 0 2
"189" 25186 5.20833333333333 3.14583333333333 72.625 9.0625 0 0 3
"190" 32102 13.0208333333333 12.6875 68.6458333333333 14.1666666666667 0 0 0
"191" 22602 10.85 9.7 55.15 41.9 0 0 0
"192" 28768 9.04166666666667 7.9375 84.1458333333333 10.8125 0 0 2
"193" 38528 15.7291666666667 15.7291666666667 59.4375 10.375 0 0 2
"194" 36445 14.4583333333333 14.4583333333333 61.9791666666667 15.6041666666667 0 0 0
"195" 36653 12.5 12.5 79.4166666666667 27.6666666666667 0 1 3
